Region,Country Name,Price
Central Europe,Austria,37.5
Central Europe,Czech Republic (Czechia),37.5
Central Europe,Germany,62.5
Central Europe,Hungary,37.5
Central Europe,Poland,20
Central Europe,Slovakia,37.5
Central Europe,Slovenia,37.5
Central Europe,Switzerland,37.5
Eastern Europe,Belarus,20
Eastern Europe,Bulgaria,20
Eastern Europe,Moldova,20
Eastern Europe,Romania,20
Eastern Europe,Russia,20
Eastern Europe,Ukraine,20
Northern Europe,Denmark,37.5
Northern Europe,Estonia,20
Northern Europe,Finland,37.5
Northern Europe,Iceland,37.5
Northern Europe,Latvia,20
Northern Europe,Lithuania,20
Northern Europe,Norway,37.5
Northern Europe,Republic of Ireland,37.5
Northern Europe,Sweden,37.5
Northern Europe,United Kingdom,37.5
Southern Europe,Albania,20
Southern Europe,Andorra,37.5
Southern Europe,Bosnia and Herzegovina,20
Southern Europe,Croatia,20
Southern Europe,Greece,37.5
Southern Europe,Italy,37.5
Southern Europe,Malta,37.5
Southern Europe,Monaco,62.5
Southern Europe,Montenegro,62.5
Southern Europe,North Macedonia,20
Southern Europe,Portugal,37.5
Southern Europe,San Marino,62.5
Southern Europe,Serbia,20
Southern Europe,Spain,37.5
Southern Europe,Vatican City,NA
Western Europe,Belgium,62.5
Western Europe,France,37.5
Western Europe,Liechtenstein,37.5
Western Europe,Luxembourg,62.5
Western Europe,Netherlands,62.5
