Reference,Feedstock,Pyrolysis_temperature,Other,C,C_org,C_inorg,H,N,O,O_to_C,Aromaticity,Ash,VM,Fixed_Carbon,Time_of_experiment_yrs,H_to_Corg,H_C_used,C1,C2,C3,k1,k2,k3,Temp_of_experiment
Budai et al 2016 BFS 52,Corn cob,580,flash,832,,,21,14,87,,,7.3,12.3,80.3,0.997260273972603,0.3008,0.3008,1.74993792189722,98.2500620781028,0,0.002341760018061,0.005404768466369,0,20
Budai et al 2016 BFS 53,Corn cob,369,slow,742,,,46,6,233,,,2.5,34.8,62.7,,0.7387,,0.062225960222791,99.9377740397772,0,89.4561140628905,0.002681654998601,0,20
Budai et al 2016 BFS 52,Corn cob,416,slow,788,,,39,5,176,,,3.2,26.4,70.5,0.997260273972603,0.5897,0.5897,3.24774717863947,96.7522528213605,0,0.010152275718735,0.004729504530775,0,20
Budai et al 2016 BFS 52,Corn cob,562,slow,868,,,27,8,90,,,3.4,12.7,83.9,0.997260273972603,0.3707,0.3707,3.24987409989308,96.7501259001069,0,0.004339302046938,0.003767901618559,0,20
Budai et al 2016 BFS 52,Corn cob,796,slow,915,,,10,10,46,,,4.5,6.9,88.7,0.997260273972603,0.1302,0.1302,1.99999999501751,98.0000000049825,0,0.009997974426293,0.004986528624637,0,20
Budai et al 2016 BFS 53,Miscanthus,235,slow,461,,,54,3,401,,,9,72.4,18.6,,1.3958,,2.04579202128309,97.9542079787169,0,0.927441592443904,0.151381693393466,0,20
Budai et al 2016 BFS 54,Miscanthus,369,slow,666,,,45,4,223,,,8.6,40.4,51,,0.8051,,1.13076780682242,98.8692321931776,0,0.503661007181494,8.42471406880159E-05,0,20
Budai et al 2016 BFS 52,Miscanthus,416,slow,736,,,33,4,128,,,11.1,19.6,69.4,0.997260273972603,0.5343,0.5343,1.99999981033402,98.000000189666,0,0.010385300373417,0.005763256651193,0,20
Budai et al 2016 BFS 52,Miscanthus,503,slow,645,,,24,4,97,,,13.3,15.8,70.9,0.997260273972603,0.4434,0.4434,2.08529058135319,97.9147094186468,0,0.221632063308285,0.001339504182942,0,20
Budai et al 2016 BFS 52,Miscanthus,600,slow,719,,,20,5,55,,,13.6,10.5,76,0.997260273972603,0.3315,0.3315,4.99999995432106,95.0000000456789,0,0.01367516056929,0.003001959765444,0,20
Budai et al 2016 BFS 52,Miscanthus,682,slow,756,,,15,6,50,,,15.9,6.4,77.7,0.997260273972603,0.2364,0.2364,3.09285746843139,96.9071425315686,0,0.115826286282923,0.0023376051846,0,20
Dharmakeerthi et al 2015 SBB,mango wood,500,without SC,,,,,,,,,,,,7.1,0.26,0.26,0.786,99.1253,0,1.3505,0.003602112,0,30
Dharmakeerthi et al 2015 SBB,mango wood,500,with SC,,,,,,,,,,,,7.1,0.26,0.26,44.4801,55.5319,0,0.00428802,0.00428802,0,30
Fang et al 2014 EJSS,Eucalyptus wood 450C,450,Inceptisol,,,,,,,,,,,,1,0.603554794396683,0.603554794396683,0.29,99.71,0,28.0769230769231,0.003861003861004,0,20
Fang et al 2014 EJSS,Eucalyptus wood 550C,550,Inceptisol,,,,,,,,,,,,1,0.480259431477815,0.480259431477815,0.15,99.85,0,15.2083333333333,0.002906976744186,0,20
Fang et al 2014 EJSS,Eucalyptus wood 450C,450,Entisol,,,,,,,,,,,,1,0.603554794396683,0.603554794396683,0.7,99.3,0,3.41121495327103,0.004672897196262,0,20
