"name","description","units","default_value","distribution","dispersion","minimum","maximum","notes"
"discount_rate","Discount rate","fraction","0.08","uniform",NA,NA,NA,"High Priority. Cost of capital varies wildly by country risk profiles."
"plant_mw_th","Plant thermal capacity","MWth","50","none",NA,NA,NA,""
"O_M_factor","Operations & Maintenance","% of Capex","0.04","uniform",NA,NA,NA,""
"bm_lhv","Biomass lower heating value","GJ/Mg","18.6","normal",NA,NA,NA,"Medium Priority. Varies by regional feedstock (e.g., rice straw vs corn stover)."
"bm_c","Carbon fraction of biomass","fraction","0.48","normal",NA,NA,NA,""
"bm_transport_fixed","Fixed transport cost (Loading/Handling)","$/Mg","5","normal",NA,NA,NA,""
"bm_transport_var","Variable transport cost (Trucking)","$/Mg/km","0.15","normal",NA,NA,NA,""
"bm_ash","Biomass ash content","fraction","0.05","normal",NA,NA,NA,"Medium Priority. Varies by regional feedstock."
"bm_h2o","Biomass moisture content","fraction","0.1","normal",NA,NA,NA,""
"bm_feed_rate","Biomass feed rate","kg/hr","250","normal",NA,NA,NA,""
"elec_price","Electricity price","$/MWh","100","normal",NA,NA,NA,""
"wholesale_discount_factor","Ratio of Wholesale to Retail","ratio","0.4","uniform",NA,NA,NA,""
"c_price","Carbon price","$/tCO2e","50","normal",NA,NA,NA,""
"bc_price","Biochar price","$/t Biochar","100","normal",NA,NA,NA,""
"price_lime","Bulk Ag Lime price","$/Mg","60","normal",NA,NA,NA,"Low Priority. Varies by local transport distance."
"price_n","Nitrogen fertilizer price","$/kg N","0.92","normal",NA,NA,NA,"High Priority. Massive regional variations due to subsidies and tariffs."
"price_p","Phosphorus fertilizer price","$/kg P2O5","1.1","normal",NA,NA,NA,"High Priority. Massive regional variations due to subsidies and tariffs."
"price_k","Potassium fertilizer price","$/kg K2O","0.62","normal",NA,NA,NA,"High Priority. Massive regional variations due to subsidies and tariffs."
"bes_life","BES project lifetime","years","30","none",NA,NA,NA,""
"bes_energy_efficiency","BES energy efficiency","fraction","0.3","uniform",NA,NA,NA,""
"bes_capital_cost","BES capital cost","$/kW","3000","log-normal",NA,NA,NA,"Medium Priority. Differ significantly due to local labor/material costs."
"bes_om_factor","BES O&M factor","fraction","0.04","uniform",NA,NA,NA,"Medium Priority. Highly labor-dependent."
"ff_c_intensity","Fossil fuel carbon intensity","tCO2eq/GJ","0.00333333333333333","uniform",NA,NA,NA,""
"use_flat_ci","Use flat carbon intensity","logical","FALSE","none",NA,NA,NA,""
"flat_ci_tCO2_GJ","Flat carbon intensity value","tCO2eq/GJ","0.00333333333333333","uniform",NA,NA,NA,""
"optimize_scale","Optimize plant scale","logical","FALSE","none",NA,NA,NA,""
"plant_sizes_mw_th","Available plant sizes","MWth","5,25,50,100,250,500","none",NA,NA,NA,""
"rebound","Rebound effect","fraction","0","uniform",NA,NA,NA,""
"beccs_available","Is BECCS available","logical","TRUE","none",NA,NA,NA,""
"beccs_eff_penalty","BECCS efficiency penalty","fraction","0.08","uniform",NA,NA,NA,""
"ccs_cc","CCS capital cost","$/kW","500","log-normal",NA,NA,NA,""
"beccs_seq_fraction","BECCS sequestration fraction","fraction","0.9","uniform",NA,NA,NA,""
"beccs_efficiency","BECCS efficiency","fraction","0.28","uniform",NA,NA,NA,""
"capture_rate","CO2 capture rate","fraction","0.9","uniform",NA,NA,NA,"Validation needed: Real-world data is sparse. Recommend sensitivity analysis (85-95%)."
"ccs_distance","CCS transport distance","km","100","log-normal",NA,NA,NA,""
"ccs_storage_cost","CCS injection/monitoring cost","$/Mg CO2","15","log-normal",NA,NA,NA,"High Priority. Geologic storage costs vary drastically. Consider spatial raster."
"beccs_capital_cost","BECCS capital cost","$/kW","4000","log-normal",NA,NA,NA,"Medium Priority. Differ significantly due to local labor/material costs."
"beccs_om_factor","BECCS O&M factor","fraction","0.05","uniform",NA,NA,NA,"Medium Priority. Highly labor-dependent."
"early_adoption","BECCS early adoption scenario","logical","FALSE","none",NA,NA,NA,""
"allow_eor","Allow Enhanced Oil Recovery","logical","FALSE","none",NA,NA,NA,""
"py_temp","Pyrolysis temperature","°C","500","uniform",NA,NA,NA,""
"py_life","Pyrolysis project lifetime","years","20","none",NA,NA,NA,""
"py_cc","Pyrolysis capital cost","$/kW","500","log-normal",NA,NA,NA,""
"lignin","Lignin fraction","fraction","0.2","uniform",NA,NA,NA,""
"time_frame","Time frame for stability","years","100","none",NA,NA,NA,""
"bc_stab_factor","Biochar stability factor","factor","4.6","uniform",NA,NA,NA,"Validation needed: Ensure aligns with IPCC or verified carbon standard methodologies."
"bc_cce","Calcium Carbonate Equivalent","fraction","0.15","uniform",NA,NA,NA,"Validation needed: Does 15% hold true globally, or should it scale with bm_ash?"
"bc_n_content","Biochar Nitrogen content","fraction","0.005","uniform",NA,NA,NA,""
"bc_p_content","Biochar Phosphorus content","fraction","0.002","uniform",NA,NA,NA,""
"bc_k_content","Biochar Potassium content","fraction","0.005","uniform",NA,NA,NA,""
"ag_impact_duration","Agronomic impact duration","years","10","uniform",NA,NA,NA,"Medium Priority. Duration depends heavily on local climate and soil. 10-year flat assumption poorly validated."
"bc_ag_value","Biochar agronomic value","$/Mg","0","normal",NA,NA,NA,""
"bc_valuation_method","Biochar valuation method","character","advanced_mechanistic","none",NA,NA,NA,""
"h_c_org","H:C organic molar ratio","ratio","0.35","uniform",NA,NA,NA,""
"n_app_rate","Nitrogen application rate","kg/ha","100","normal",NA,NA,NA,""
"n2o_factor","N2O emission factor","fraction","0.01","uniform",NA,NA,NA,"Validation needed: Ensure model accounts for biochar-induced N2O suppression."
