"name","description","units","default_value","distribution","uncertainty_level","dispersion","minimum","maximum","notes"
"discount_rate","Discount rate","fraction","0.08","uniform","medium",NA,0.052287187078898,0.107712812921102,"High Priority. Cost of capital varies wildly by country risk profiles."
"plant_mw_th","Plant thermal capacity","MWth","50","none","medium",NA,NA,NA,""
"O_M_factor","Operations & Maintenance","% of Capex","0.04","uniform","medium",NA,0.026143593539449,0.053856406460551,""
"bm_lhv","Biomass lower heating value","GJ/Mg","18.6","normal","medium",3.72,7.44,29.76,"Medium Priority. Varies by regional feedstock (e.g., rice straw vs corn stover)."
"bm_c","Carbon fraction of biomass","fraction","0.48","normal","medium",0.096,0.192,0.768,""
"bm_transport_fixed","Fixed transport cost (Loading/Handling)","$/Mg","5","normal","medium",1,2,8,""
"bm_transport_var","Variable transport cost (Trucking)","$/Mg/km","0.15","normal","medium",0.03,0.06,0.24,""
"bm_ash","Biomass ash content","fraction","0.05","normal","medium",0.01,0.02,0.08,"Medium Priority. Varies by regional feedstock."
"bm_h2o","Biomass moisture content","fraction","0.1","normal","medium",0.02,0.04,0.16,""
"bm_feed_rate","Biomass feed rate","kg/hr","250","normal","medium",50,100,400,""
"elec_price","Electricity price","$/MWh","100","normal","medium",20,40,160,""
"wholesale_discount_factor","Ratio of Wholesale to Retail","ratio","0.4","uniform","medium",NA,0.26143593539449,0.53856406460551,""
"c_price","Carbon price","$/tCO2e","50","normal","medium",10,20,80,""
"bc_price","Biochar price","$/t Biochar","100","normal","medium",20,40,160,""
"price_lime","Bulk Ag Lime price","$/Mg","60","normal","medium",12,24,96,"Low Priority. Varies by local transport distance."
"price_n","Nitrogen fertilizer price","$/kg N","0.92","normal","medium",0.184,0.368,1.472,"High Priority. Massive regional variations due to subsidies and tariffs."
"price_p","Phosphorus fertilizer price","$/kg P2O5","1.1","normal","medium",0.22,0.44,1.76,"High Priority. Massive regional variations due to subsidies and tariffs."
"price_k","Potassium fertilizer price","$/kg K2O","0.62","normal","medium",0.124,0.248,0.992,"High Priority. Massive regional variations due to subsidies and tariffs."
"bes_life","BES project lifetime","years","30","none","medium",NA,NA,NA,""
"bes_energy_efficiency","BES energy efficiency","fraction","0.3","uniform","medium",NA,0.196076951545867,0.403923048454133,""
