"region","c_price","discount_rate","allow_eor","early_adoption","plant_mw_th","technology","area_best_km2","area_viable_km2","biomass_processed_yr_mg","npv_min","npv_max","npv_mean","mean_co2_transport_distance_km","mean_biomass_transport_distance_km","mean_capital_cost_mg","mean_om_cost_mg","mean_biomass_cost_mg","mean_co2_transport_cost_mg","mean_net_cdr","mean_carbon_removal_revenue_mg","mean_electricity_production_mwh","mean_electricity_revenue_mg","mean_agronomic_revenue_mg","mean_lcoe_usd_mwh","mean_cost_of_co2_avoided","mean_abatement_efficiency","mean_total_capex_m"
"US",0,0.02,TRUE,TRUE,50,"BES",5512181.64640698,38575.1360108656,148914.169591735,-140.475145787571,11.0495767213946,-89.4011893089633,NA,141.661821039438,42.4633064836628,2.03823871121581,121.309273155916,0,0.490796471004637,0,1.472501178,76.4096290418336,NA,112.604879933613,400.016704428173,0,68.5291501786788
"US",0,0.02,TRUE,TRUE,50,"BECCS",NA,NA,NA,NA,NA,NA,NA,NA,53.9483651702426,2.69741825851213,NA,NA,NA,NA,1.3743344328,NA,NA,NA,NA,NA,87.0642426318861
"US",0,0.02,TRUE,TRUE,50,"BEBCS",22892.5196291482,NA,NA,-115.11258578605,-81.7839464036078,-95.3158319032209,NA,134.56282807735,73.2650919233,29.8761331729751,120.244424211602,0,0.942412447035558,0,0.75264329023612,34.0575047936323,94.0123126110245,171.891968446654,238.330991866297,1.6331062087809,116.279758519933
"China",0,0.02,TRUE,TRUE,50,"BES",5033860.70199904,NA,NA,-116.704495725455,-21.6080782074678,-42.3692191131918,NA,33.8963126669548,42.4633064836628,2.03823871121581,45.0844469000434,0,0.565358883288698,0,1.472501178,47.216772981748,NA,60.8393347546254,158.542600680731,0,68.5291501786788
"China",0,0.02,TRUE,TRUE,50,"BECCS",NA,NA,NA,NA,NA,NA,NA,NA,53.9483651702426,2.69741825851213,NA,NA,NA,NA,1.3743344328,NA,NA,NA,NA,NA,87.0642426318861
"China",0,0.02,TRUE,TRUE,50,"BEBCS",12710.0662415784,NA,NA,-74.7000897332176,-25.058710081983,-49.732363392622,NA,110.727532492654,73.2650919233,29.8761331729751,56.6091298738981,0,1.01621294042354,0,0.75264329023612,23.9442619622576,86.0737296152937,97.8904964817604,157.240878554339,1.6043841102584,116.279758519933
"Europe",0,0.02,TRUE,TRUE,50,"BES",4757393.26976032,459192.643333944,11840648.2626157,-130.285299619283,25.0893554221131,-28.7023076234373,NA,47.2981500024191,42.4633064836628,2.03823871121581,72.1107225003607,0,0.1662044862613,0,1.472501178,87.9099600718187,NA,79.1933272702908,Inf,0,68.5291501786788
"Europe",0,0.02,TRUE,TRUE,50,"BECCS",NA,NA,NA,NA,NA,NA,NA,NA,53.9483651702426,2.69741825851213,NA,NA,NA,NA,1.3743344328,NA,NA,NA,NA,NA,87.0642426318861
"Europe",0,0.02,TRUE,TRUE,50,"BEBCS",NA,NA,NA,NA,NA,NA,NA,NA,73.2650919233,29.8761331729751,NA,0,NA,NA,0.75264329023612,NA,NA,NA,NA,NA,116.279758519933
"India",0,0.02,TRUE,TRUE,50,"BES",2841243.48933042,NA,NA,-105.026461520966,-7.15658776301723,-27.8294982249609,NA,21.7753981585826,42.4633064836628,2.03823871121581,41.6261369376103,0,0.848703288132595,0,1.472501178,58.2981839075242,NA,58.4907390359245,101.489237896465,0,68.5291501786788
"India",0,0.02,TRUE,TRUE,50,"BECCS",NA,NA,NA,NA,NA,NA,NA,NA,53.9483651702426,2.69741825851213,NA,NA,NA,NA,1.3743344328,NA,NA,NA,NA,NA,87.0642426318861
"India",0,0.02,TRUE,TRUE,50,"BEBCS",68556.3586327883,NA,NA,-65.1530282585563,-15.3858586119737,-39.3987325459843,NA,61.1458716586328,73.2650919233,29.8761331729751,61.208009781053,0,1.04821842781964,0,0.75264329023612,29.4900208404,95.4604814909438,91.5290872582846,156.84212070185,2.0180673856332,116.279758519933
"US",50,0.02,TRUE,TRUE,50,"BES",4457264.92307685,145594.613985537,250774.197082127,-131.150056571048,25.5577531483939,-63.6785992218988,NA,141.765786507597,42.4633064836628,2.03823871121581,121.32486797614,0,0.491843788350275,24.5921894175136,1.472501178,77.5556245316079,NA,112.61547063497,405.218731828778,0,68.5291501786788
"US",50,0.02,TRUE,TRUE,50,"BECCS",349252.343010559,NA,NA,-102.123390670311,-15.3225947932259,-53.094609422264,118.920001013383,126.02805107096,53.9483651702426,2.69741825851213,118.964207660644,47.5033335490278,2.07054680426739,103.527340213369,1.3743344328,66.4913750027924,NA,162.342817958702,108.185269084696,1.30716338653244,87.0642426318861
"US",50,0.02,TRUE,TRUE,50,"BEBCS",728556.899948942,NA,NA,-109.322973252756,-37.1564406443252,-63.1693500061717,NA,148.657082150889,73.2650919233,29.8761331729751,122.358562322633,0,0.913954783461483,45.6977391730743,0.75264329023612,36.4432278551139,80.1894703845489,193.066647799082,248.070078507494,1.57355499922324,116.279758519933
"China",50,0.02,TRUE,TRUE,50,"BES",4392734.82427729,231355.477529833,17499076.066011,-87.6253971308637,6.76612802548229,-13.4323099597731,NA,33.3417676143156,42.4633064836628,2.03823871121581,45.0012651421473,0,0.565414337793958,28.270716889698,1.472501178,47.7997834875673,NA,60.7828446416542,158.378444245603,0,68.5291501786788
"China",50,0.02,TRUE,TRUE,50,"BECCS",219340.063304397,136459.424060092,14693913.1963829,-38.9836403491222,38.7400852002491,4.03290423377013,122.700755187531,20.2769696122183,53.9483651702426,2.69741825851213,43.0415454418328,48.2581914926767,2.11280424995715,105.640212497857,1.3743344328,46.3382120991764,NA,107.64884938657,70.024324373592,1.33384106689214,87.0642426318861
