"Ref","Crop","Croptype","YieldType","MeanCropYield","BC_AppRate","Inorg_N_AppRate","pH_soil","CEC","SOC","Sand","Silt","Clay","Texture","Feedstock","HTT","BC_percentC","pH_BC","Year","lat","lon","RR","YieldRatio","RelativeYieldIncrease","pot.trial"
"(Aguilar-Chávez et al. 2012)","Wheat","cereal","Biomass",,97.034,150,8.9,"NA",29.1,"NA","NA","NA","Medium","Wood","NA","NA","NA",1,19.42,-98.82,-0.143,0.867,-0.133,1
"(Aguilar-Chávez et al. 2012)","Wheat","cereal","Grain",,48.517,150,8.9,"NA",29.1,"NA","NA","NA","Medium","Wood","NA","NA","NA",1,19.42,-98.82,-0.115,0.891,-0.109,1
"(Aguilar-Chávez et al. 2012)","Wheat","cereal","Grain",,97.034,150,8.9,"NA",29.1,"NA","NA","NA","Medium","Wood","NA","NA","NA",1,19.42,-98.82,-0.079,0.924,-0.076,1
"(Aguilar-Chávez et al. 2012)","Wheat","cereal","Biomass",,145.551,150,8.9,"NA",29.1,"NA","NA","NA","Medium","Wood","NA","NA","NA",1,19.42,-98.82,-0.069,0.933,-0.067,1
"(Aguilar-Chávez et al. 2012)","Wheat","cereal","Grain",,145.551,150,8.9,"NA",29.1,"NA","NA","NA","Medium","Wood","NA","NA","NA",1,19.42,-98.82,-0.067,0.935,-0.065,1
"(Aguilar-Chávez et al. 2012)","Wheat","cereal","Biomass",,48.517,150,8.9,"NA",29.1,"NA","NA","NA","Medium","Wood","NA","NA","NA",1,19.42,-98.82,-0.029,0.971,-0.029,1
"(Arif et al. 2012)","Maize","cereal","Biomass",5.5,30,0,"NA","NA","NA","NA","NA","NA",,,"NA","NA","NA",1,34,71.5,0.038,1.039,0.039,0
"(Arif et al. 2012)","Maize","cereal","Biomass",5.5,30,150,"NA","NA","NA","NA","NA","NA",,,"NA","NA","NA",1,34,71.5,0.048,1.049,0.049,0
"(Arif et al. 2012)","Maize","cereal","Grain",5.5,30,150,"NA","NA","NA","NA","NA","NA",,,"NA","NA","NA",1,34,71.5,0.054,1.055,0.055,0
"(Arif et al. 2012)","Maize","cereal","Biomass",5.5,30,"NA","NA","NA","NA","NA","NA","NA",,,"NA","NA","NA",1,34,71.5,0.087,1.091,0.091,0
"(Arif et al. 2012)","Maize","cereal","Grain",5.5,30,0,"NA","NA","NA","NA","NA","NA",,,"NA","NA","NA",1,34,71.5,0.156,1.168,0.168,0
"(Arif et al. 2012)","Maize","cereal","Grain",5.5,30,"NA","NA","NA","NA","NA","NA","NA",,,"NA","NA","NA",1,34,71.5,0.285,1.33,0.33,0
"(Artiola et al. 2012)","Lettuce (romaine)","vegetable","Biomass",,80,"NA",8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,32.2,-112,-0.385,0.68,-0.32,1
"(Artiola et al. 2012)","Bermuda grass","grass","Biomass",,80,"NA",8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,32.2,-112,0,1,0,1
"(Artiola et al. 2012)","Lettuce (romaine)","vegetable","Biomass",,40,"NA",8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,32.2,-112,0.138,1.147,0.147,1
"(Artiola et al. 2012)","Bermuda grass","grass","Biomass",,40,"NA",8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",1,32.2,-112,0.164,1.179,0.179,1
"(Artiola et al. 2012)","Lettuce (romaine)","vegetable","Biomass",,40,0,8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",2,32.2,-112,0.408,1.504,0.504,1
"(Artiola et al. 2012)","Lettuce (romaine)","vegetable","Biomass",,40,"NA",8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",3,32.2,-112,0.432,1.54,0.54,1
"(Artiola et al. 2012)","Lettuce (romaine)","vegetable","Biomass",,80,0,8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",2,32.2,-112,0.452,1.572,0.572,1
"(Artiola et al. 2012)","Lettuce (romaine)","vegetable","Biomass",,80,"NA",8.15,"NA","NA","NA","NA","NA","Medium","Wood","NA","NA","NA",3,32.2,-112,0.875,2.399,1.399,1
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,-0.336,0.714,-0.286,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,16,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,-0.31,0.733,-0.267,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,-0.266,0.767,-0.233,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,0,7.7,24,28,0.17,0.43,0.4,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.201,0.818,-0.182,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.118,0.889,-0.111,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.111,0.895,-0.105,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,0,6.8,15,22,0.29,0.41,0.3,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.111,0.895,-0.105,0
"(Asai et al. 2009)","Rice","cereal","Grain",,8,0,7.1,16,14,0.21,0.34,0.45,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,-0.11,0.896,-0.104,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,-0.105,0.9,-0.1,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,4,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.054,0.947,-0.053,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,16,50,5.4,23,10,0.18,0.34,0.38,"Heavy","Wood","NA",0.87,7.5,1,19.5,102,-0.036,0.964,-0.036,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,16,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.027,0.974,-0.026,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,16,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.019,0.981,-0.019,0
"(Asai et al. 2009)","Rice","cereal","Grain",4.5,8,50,5.2,14,15,0.27,0.45,0.28,"Medium","Wood","NA",0.87,7.5,1,19.5,102,-0.018,0.982,-0.018,0
